insight_id,insight_date,source,source_type,theme,region_std,lifecycle_stage,category,statement,so_what,confidence
I0120,2026-08-09,Validated model,Analysis,Headroom,GC,BUILD,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0121,2026-08-09,Validated model,Analysis,Headroom,GC,OPEN,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0122,2026-08-09,Validated model,Analysis,Headroom,GC,OPERATE,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0123,2026-08-09,Validated model,Analysis,Headroom,GC,IT/TELECOM,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0124,2026-08-09,Validated model,Analysis,Headroom,AMER,BUILD,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0125,2026-08-09,Validated model,Analysis,Headroom,AMER,OPEN,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0126,2026-08-09,Validated model,Analysis,Headroom,AMER,OPERATE,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0127,2026-08-09,Validated model,Analysis,Headroom,AMER,IT/TELECOM,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0128,2026-08-09,Validated model,Analysis,Headroom,EMEAA,BUILD,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0129,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPEN,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0130,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPERATE,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0131,2026-08-09,Validated model,Analysis,Headroom,EMEAA,IT/TELECOM,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0132,2026-08-09,Validated model,Analysis,Headroom,GC,BUILD,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0133,2026-08-09,Validated model,Analysis,Headroom,GC,OPEN,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0134,2026-08-09,Validated model,Analysis,Headroom,GC,OPERATE,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0135,2026-08-09,Validated model,Analysis,Headroom,GC,IT/TELECOM,"Hotel Tech, Hardware, Software, Telecom","Hotel Tech, Hardware, Software, Telecom: $1.46bn directly addressable, $19.4m captured (1.32%) — $1.44bn headroom.",Rank 5 of 6 by headroom.,High
I0136,2026-08-09,Validated model,Analysis,Headroom,AMER,BUILD,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0137,2026-08-09,Validated model,Analysis,Headroom,AMER,OPEN,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0138,2026-08-09,Validated model,Analysis,Headroom,AMER,OPERATE,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0139,2026-08-09,Validated model,Analysis,Headroom,AMER,IT/TELECOM,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0140,2026-08-09,Validated model,Analysis,Headroom,EMEAA,BUILD,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0141,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPEN,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0142,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPERATE,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0143,2026-08-09,Validated model,Analysis,Headroom,EMEAA,IT/TELECOM,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0144,2026-08-09,Validated model,Analysis,Headroom,GC,BUILD,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0145,2026-08-09,Validated model,Analysis,Headroom,GC,OPEN,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0146,2026-08-09,Validated model,Analysis,Headroom,GC,OPERATE,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0147,2026-08-09,Validated model,Analysis,Headroom,GC,IT/TELECOM,MRO,"MRO: $1.41bn directly addressable, $92.4m captured (6.56%) — $1.32bn headroom.",Rank 6 of 6 by headroom.,High
I0148,2026-08-09,Validated model,Analysis,Challenge,AMER,BUILD,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0149,2026-08-09,Validated model,Analysis,Challenge,AMER,OPEN,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0150,2026-08-09,Validated model,Analysis,Challenge,AMER,OPERATE,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0151,2026-08-09,Validated model,Analysis,Challenge,AMER,IT/TELECOM,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0152,2026-08-09,Validated model,Analysis,Challenge,EMEAA,BUILD,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0153,2026-08-09,Validated model,Analysis,Challenge,EMEAA,OPEN,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0154,2026-08-09,Validated model,Analysis,Challenge,EMEAA,OPERATE,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0155,2026-08-09,Validated model,Analysis,Challenge,EMEAA,IT/TELECOM,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0156,2026-08-09,Validated model,Analysis,Challenge,GC,BUILD,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0157,2026-08-09,Validated model,Analysis,Challenge,GC,OPEN,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0158,2026-08-09,Validated model,Analysis,Challenge,GC,OPERATE,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0159,2026-08-09,Validated model,Analysis,Challenge,GC,IT/TELECOM,FF&E,FF&E is the largest directly-addressable category at $5.81bn but captures only 0.82% — the weakest of the six.,"Either there is a genuine programme gap here, or this spend is being captured in a system that does not feed the programme tracker. Worth establishing which before it is presented as an opportunity.",Needs review
I0160,2026-08-09,Validated model,Analysis,Delivery,AMER,BUILD,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0161,2026-08-09,Validated model,Analysis,Delivery,AMER,OPEN,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0162,2026-08-09,Validated model,Analysis,Delivery,AMER,OPERATE,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0163,2026-08-09,Validated model,Analysis,Delivery,AMER,IT/TELECOM,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0164,2026-08-09,Validated model,Analysis,Delivery,EMEAA,BUILD,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0165,2026-08-09,Validated model,Analysis,Delivery,EMEAA,OPEN,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0166,2026-08-09,Validated model,Analysis,Delivery,EMEAA,OPERATE,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0167,2026-08-09,Validated model,Analysis,Delivery,EMEAA,IT/TELECOM,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0168,2026-08-09,Validated model,Analysis,Delivery,GC,BUILD,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0169,2026-08-09,Validated model,Analysis,Delivery,GC,OPEN,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0170,2026-08-09,Validated model,Analysis,Delivery,GC,OPERATE,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0171,2026-08-09,Validated model,Analysis,Delivery,GC,IT/TELECOM,,"CRF collected in 2025 was $27.1m, 2.34% of programme spend.","Fee yield, not volume, is the lever here — a 0.1pp rate improvement is worth $1.2m a year at current volume.",High
I0172,2026-08-09,Validated model,Analysis,Delivery,AMER,BUILD,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0173,2026-08-09,Validated model,Analysis,Delivery,AMER,OPEN,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0174,2026-08-09,Validated model,Analysis,Delivery,AMER,OPERATE,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0175,2026-08-09,Validated model,Analysis,Delivery,AMER,IT/TELECOM,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0176,2026-08-09,Validated model,Analysis,Delivery,EMEAA,BUILD,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0177,2026-08-09,Validated model,Analysis,Delivery,EMEAA,OPEN,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0178,2026-08-09,Validated model,Analysis,Delivery,EMEAA,OPERATE,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0179,2026-08-09,Validated model,Analysis,Delivery,EMEAA,IT/TELECOM,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0180,2026-08-09,Validated model,Analysis,Delivery,GC,BUILD,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0181,2026-08-09,Validated model,Analysis,Delivery,GC,OPEN,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0182,2026-08-09,Validated model,Analysis,Delivery,GC,OPERATE,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0183,2026-08-09,Validated model,Analysis,Delivery,GC,IT/TELECOM,,P2P at 2025 year-end: 755 CMH systems (AMER 88 / EMEAA 245 / GC 422) and 256 franchise.,P2P coverage is the mechanism that converts addressable spend into programme spend — rollout rate is a leading indicator of capture rate.,High
I0184,2026-08-09,Validated model,Analysis,Risk,AMER,BUILD,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0185,2026-08-09,Validated model,Analysis,Risk,AMER,OPEN,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0186,2026-08-09,Validated model,Analysis,Risk,AMER,OPERATE,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0187,2026-08-09,Validated model,Analysis,Risk,AMER,IT/TELECOM,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0188,2026-08-09,Validated model,Analysis,Risk,EMEAA,BUILD,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0189,2026-08-09,Validated model,Analysis,Risk,EMEAA,OPEN,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0190,2026-08-09,Validated model,Analysis,Risk,EMEAA,OPERATE,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0191,2026-08-09,Validated model,Analysis,Risk,EMEAA,IT/TELECOM,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0192,2026-08-09,Validated model,Analysis,Risk,GC,BUILD,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0193,2026-08-09,Validated model,Analysis,Risk,GC,OPEN,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0194,2026-08-09,Validated model,Analysis,Risk,GC,OPERATE,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0195,2026-08-09,Validated model,Analysis,Risk,GC,IT/TELECOM,,The CRF_Analysis 'Pivots' sheet holds named individuals against spend figures and is excluded from every extract.,Re-check before this model is shared more widely or connected to an AI agent — personal data must not ride along into a conversational surface.,High
I0196,2026-08-09,Validated model,Analysis,Open question,AMER,BUILD,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0197,2026-08-09,Validated model,Analysis,Open question,AMER,OPEN,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0198,2026-08-09,Validated model,Analysis,Open question,AMER,OPERATE,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0199,2026-08-09,Validated model,Analysis,Open question,AMER,IT/TELECOM,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0200,2026-08-09,Validated model,Analysis,Open question,EMEAA,BUILD,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0201,2026-08-09,Validated model,Analysis,Open question,EMEAA,OPEN,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0202,2026-08-09,Validated model,Analysis,Open question,EMEAA,OPERATE,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0203,2026-08-09,Validated model,Analysis,Open question,EMEAA,IT/TELECOM,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0204,2026-08-09,Validated model,Analysis,Open question,GC,BUILD,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0205,2026-08-09,Validated model,Analysis,Open question,GC,OPEN,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0206,2026-08-09,Validated model,Analysis,Open question,GC,OPERATE,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
I0207,2026-08-09,Validated model,Analysis,Open question,GC,IT/TELECOM,,Whether the 808 'Suites' hotels sit in Essentials & Suites or in Premium + Lifestyle/Luxury is unresolved.,"Current grouping gives 1,445 / 5,549; the slide shows 1,337 / 5,657. Affects any segment-level target.",Needs review
